,seed,actions
45,45,"[1, 3, 2, 3, 1, 2, 1, 3, 2, 3, 1, 3, 3, 3, 0, 0, 3, 0, 2, 2, 1, 2, 2, 0, 3, 1, 1, 2, 3, 0, 0, 3, 2, 3, 1, 3, 1, 1, 2, 1, 2, 2, 0, 3, 2, 3, 1, 3, 3, 0, 0, 0, 3, 0, 2, 3, 2, 1, 2, 2, 2, 2, 1, 3, 3, 1, 3, 2, 3, 1, 2, 2, 0, 0, 3, 0, 0, 3, 2, 3, 1, 2, 2, 2, 1, 3, 3, 1, 3, 1, 3, 0, 2, 3, 1, 2, 2, 2, 0, 3, 0, 2, 2, 0, 3, 3, 3, 3, 3, 0, 2, 1, 1, 0, 0, 2, 3, 3, 1, 2, 2, 2, 2, 2, 1, 3, 3, 1, 3, 1, 3, 0, 2, 3, 1, 2, 2, 2, 0, 3, 0, 2, 2, 0, 3, 0, 3, 2, 3, 1, 2, 2, 1, 3, 3, 1, 3, 3, 0, 1, 2, 2, 2, 0, 3, 0, 0, 3, 1, 3, 2, 3, 1, 1, 2, 2, 2, 0, 3, 0, 2, 2, 0, 3, 3, 3, 0, 3, 1, 1, 1]"
46,46,"[0, 3, 2, 2, 0, 0, 3, 2, 1, 1, 3, 0, 3, 2, 2, 0, 0, 3, 3, 1, 0, 2, 1, 3, 2, 2, 1, 1, 3, 3, 0, 1, 2, 2, 0, 0, 3, 0, 3, 1, 2, 3, 0, 2, 2, 1, 1, 1, 3, 0, 2, 3, 1, 3, 0, 2, 0, 0]"
47,47,[]
48,48,"[2, 3, 1, 1, 2, 2, 0, 0, 2, 2, 1, 3, 2, 3, 1, 3, 3, 3, 0, 0, 2, 1, 3, 2, 0, 3, 0, 2, 2, 2, 1, 1, 3, 1, 3, 2, 2, 0, 3, 0, 3, 3, 1, 2, 3, 2, 1, 2, 1, 3, 3, 0, 2, 3, 1, 2, 2, 0, 2, 0, 3, 2, 3, 0, 3, 3, 1, 0, 2, 1, 3, 2, 2, 2, 1, 3, 1, 3, 3, 0, 2, 3, 2, 0, 2, 2, 2, 0, 3, 3, 3, 3, 1, 2, 3, 0, 2, 2, 2, 2, 1, 3, 1, 3, 2, 3, 1, 3, 0, 2, 3, 1, 3, 0, 2, 3, 1, 2, 2, 0, 2, 0, 3, 0, 3, 1, 2, 3, 0, 3, 0, 2, 2, 2, 1, 2, 1, 3, 1, 3, 1, 3, 3, 0, 0, 1, 2, 3, 2, 0, 2, 2, 2, 0, 3, 3, 3, 0, 3, 1, 2, 3, 0, 2, 2, 2, 1, 3, 1, 2, 1, 3, 2, 3, 1, 3, 0, 3, 0, 2, 3, 2, 1, 3, 1, 2, 2, 0, 2, 0, 2, 0, 3, 3, 3, 0, 3, 1, 2, 1, 2, 3, 2, 0, 3, 3, 1, 2, 3, 0, 2, 2, 2, 2, 1, 3, 3, 2, 3, 1, 3, 0, 3, 2, 2, 2, 1, 3, 3, 1, 3, 0, 2, 3, 1, 2, 2, 0, 2, 0, 3, 0, 2, 0, 3, 3, 3, 1, 2, 3, 1, 2, 3, 0, 2, 0, 2, 2, 1, 3, 2, 3, 1, 3, 3, 0, 2, 3, 2, 1, 2, 2, 1, 3, 3, 1, 3, 0, 2, 3, 1, 2, 2, 0, 2, 0, 0, 3, 2, 3, 0, 3, 3, 1, 1, 2, 0, 3, 2, 2, 2, 2, 1, 3, 3, 3, 1, 2, 1, 3, 3, 0, 2, 3, 1, 2, 2, 0, 2, 0, 3, 3, 0, 3, 0, 2, 3, 1, 1, 2, 3, 0, 2, 2, 2, 0, 3, 2, 3, 1, 3, 3, 0, 2, 3, 2, 1, 3, 1, 2, 2, 2, 1, 3, 3, 1, 3, 0, 2, 3, 1, 2, 2, 0, 2, 0, 3, 3, 0, 0, 2, 3, 3, 1, 1, 2, 3, 0, 2, 2, 2, 2, 1, 3, 3, 1, 3, 1, 3, 0, 0]"
49,49,[]
50,50,[]
51,51,"[3, 1, 2, 3, 0, 2, 0, 2, 0, 3, 3, 1, 2, 1, 1, 2, 1, 3, 1, 3, 3, 0, 2, 3, 2, 1, 2, 2, 0, 0, 3, 0, 0, 3, 1, 3, 2, 2, 1, 2, 1, 3, 2, 3, 1, 3, 3, 0, 2, 3, 2, 1, 2, 2, 0, 0, 3, 0, 3, 1, 2, 2, 1, 1, 3, 0, 2, 3, 1, 3, 3, 0, 2, 3, 2, 1, 2, 2, 0, 0, 3, 2, 1, 1, 3, 3, 0, 2, 3, 3, 1, 2, 2, 0, 0, 0, 3, 1, 2, 2, 1, 3, 1, 3, 3, 0, 2, 2]"
52,52,"[2, 3, 1, 2, 2, 2, 0, 3, 2, 2, 2, 1, 3, 2, 3, 0, 3, 3, 1, 3, 3, 0, 0, 2, 1, 3, 2, 2, 1, 2, 3, 2, 0, 3, 3, 3, 1, 2, 2]"
53,53,"[1, 3, 2, 3, 0, 3, 3, 3, 3, 1, 2, 1, 3, 1, 1, 1, 2, 2, 0, 3, 2, 3, 0, 3, 0, 2, 0, 3, 0, 2, 2, 2, 2, 1, 3, 2, 3, 0, 3, 3, 3, 1, 2, 1, 3, 1, 1, 2, 3, 0, 2, 0, 3, 0, 2, 0, 2, 2, 1, 3, 3, 2, 3, 0, 3, 1, 1]"
54,54,"[3, 2, 1, 2, 2, 2, 2, 0, 0, 0, 0, 3, 2, 3, 0, 3, 3, 3, 3, 1, 1, 1, 2, 3, 0, 2, 0, 3, 0, 2, 2, 2, 2, 1, 3, 2, 3, 0, 3, 3, 3, 1, 2, 1, 3, 1, 1, 2, 3, 0, 2, 0, 3, 0, 2, 0, 2, 2, 1, 3, 3]"
